case_id,t_state,t_county,p_name,p_year,p_tnum,t_manu,t_model,t_cap,t_ttlh,xlong,ylat,Range
3000903,CA,Riverside County,Mountain View Power Partners I & II,2001,111,Mitsubishi,MWT600,600,77.4,-116.619476,33.913090000000004,< 1000
3074146,CA,Riverside County,Mountain View Power Partners I & II,2001,111,Mitsubishi,MWT600,600,77.4,-116.619545,33.913731,< 1000
3000742,CA,Riverside County,Mountain View Power Partners II,2001,37,Mitsubishi,MWT-600-45,600,82.5,-116.58138999999998,33.889396999999995,< 1000
3077409,NM,Quay County,New Mexico Wind Energy Center,2003,136,GE Wind,GE1.5-70.5,1500,100.3,-104.04718000000001,34.627303999999995,1000 - 2000
3012982,WA,Benton County,Nine Canyon,2002,37,Bonus,B62,1300,91.1,-119.10288200000001,46.099292999999996,1000 - 2000
3060824,KS,Pratt County,Ninnescah,2016,10,GE Wind,GE1.79-100,1790,130.1,-98.680389,37.562084000000006,1000 - 2000
3021757,NY,Clinton County,Noble Ellenburg,2008,54,GE Wind,GE1.5-77,1500,118.6,-73.979996,44.861992,1000 - 2000
3017366,NY,Clinton County,Noble Ellenburg,2008,54,GE Wind,GE1.5-77,1500,118.6,-73.995399,44.878890999999996,1000 - 2000
3027043,TX,Hansford County,Noble Great Plains,2009,76,GE Wind,GE1.5-77,1500,118.6,-101.331192,36.447292,1000 - 2000
3027056,TX,Hansford County,Noble Great Plains,2009,76,GE Wind,GE1.5-77,1500,118.6,-101.35759,36.443993,1000 - 2000
3039088,MN,Nobles County,Nobles,2010,134,GE Wind,GE1.5-77,1500,118.6,-95.847992,43.735394,1000 - 2000
3043497,CA,Kern County,North Sky River,2012,100,GE Wind,GE1.62-100,1620,130.1,-118.16729,35.355194,1000 - 2000
3027129,TX,Winkler County,Notrees,2009,55,Vestas,V82-1.65,1650,121.0,-102.83049,32.034195000000004,1000 - 2000
3061003,IA,O'Brien County,O'Brien,2016,91,Siemens,SWT-2.3-108,2415,134.1,-95.560936,43.237590999999995,2000 - 3000
3069343,OK,Harper County,OK Wind Energy Center(mooreland),2003,68,GE Wind,GE1.5-70.5,1500,100.3,-99.33672299999999,36.604671,1000 - 2000
3047049,CA,Imperial County,Ocotillo Wind I,2013,18,Siemens,SWT-2.3-108,2300,134.1,-115.98678600000001,32.711796,2000 - 3000
3044731,CA,Imperial County,Ocotillo Wind I,2012,94,Siemens,SWT-2.37-108,2370,134.1,-116.06829099999999,32.737694,2000 - 3000
3051063,OK,Osage County,Osage Wind,2015,84,GE Wind,GE1.79-100,1790,130.1,-96.65947,36.713184000000005,1000 - 2000
3023484,TX,Glasscock County,Panther Creek II,2009,77,GE Wind,GE1.5-77,1500,118.6,-101.280594,31.937695,1000 - 2000
3028823,TX,Sterling County,Panther Creek III,2009,133,GE Wind,GE1.5-77,1500,118.6,-101.113487,32.009296,1000 - 2000
